[2013-11-16 1010:1111:5757]    Login :: User:root Password:pepe
[2013-11-16 11:02:35]    Login :: User:juan Password:pepe
[2013-11-16 11:02:35]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 4
[2013-11-16 11:03:08]    Login :: User:juan Password:pepe
[2013-11-16 11:04:09]    Login :: User:juan Password:pepe
[2013-11-16 11:04:09]    nuevoCarrito :: SQL : INSERT INTO `carrito` (`IdCarrito`, `IdCliente`, `Fecha`, `CantArt`, `MontoTotal`, `Activo`) VALUES (NULL, '1', '2013-11-16', '0', '0', '1');
[2013-11-16 11:04:09]    nuevoCarrito :: Se intenta crear carrito para Cliente id : 1
[2013-11-16 11:06:10]    Login :: User:juan Password:pepe
[2013-11-16 11:06:10]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 12:37:02]    Login :: User:juan Password:pepe
[2013-11-16 12:37:02]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 12:37:09]    acerca :: ERROR :: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined
[2013-11-16 12:38:06]    acerca :: ERROR :: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined
[2013-11-16 12:38:43]    acerca :: ERROR :: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined
[2013-11-16 12:39:38]    verCarrito :: ERROR :: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'detallecarrito.IdCarrito ='5'' at line 1
[2013-11-16 12:40:50]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticuloWHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:40:50]    verCarrito :: ERROR :: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'detallecarrito.IdCarrito ='5'' at line 1
[2013-11-16 12:41:55]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:42:41]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:43:27]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:43:44]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:45:36]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:50:37]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:51:43]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:51:45]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:52:24]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:52:24]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:53:28]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:53:29]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:54:39]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:54:40]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:55:16]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:55:17]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:56:53]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:56:54]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:57:04]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:57:05]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:57:25]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:57:25]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:59:30]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:59:30]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:59:49]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 12:59:50]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 13:05:02]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 13:05:04]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 13:07:15]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 13:07:15]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 13:27:53]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 15:27:56]    Login :: User:juan Password:pepe
[2013-11-16 15:27:56]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 15:28:06]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 15:28:08]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 15:28:09]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 15:28:11]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 15:28:11]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 15:28:18]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 15:28:20]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 15:34:55]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 15:34:56]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 15:35:04]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 15:35:47]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 15:36:55]    Login :: User:juan Password:pepe
[2013-11-16 15:36:55]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 15:36:58]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:02:55]    Login :: User:juan Password:pepe
[2013-11-16 16:02:55]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:02:58]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:03:04]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 16:03:04]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 16:03:37]    Login :: User:juan Password:pepe
[2013-11-16 16:03:37]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:03:42]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:03:45]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 16:03:45]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 16:03:57]    Login :: User:juan Password:pepe
[2013-11-16 16:03:57]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:04:00]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:04:02]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 16:04:02]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 16:04:06]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:35:59]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:37:29]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:37:29]    buscar :: ERROR :: No se encontraron registros
[2013-11-16 16:41:40]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:41:49]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:42:00]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:42:16]    Login :: User:root Password:pepe
[2013-11-16 16:42:54]    Login :: User:juan Password:pepe
[2013-11-16 16:42:54]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:43:00]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:43:28]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:43:35]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 16:43:35]    verCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 16:44:22]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:45:18]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:55:08]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:59:27]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 16:59:40]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 17:01:23]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 17:01:24]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 17:01:26]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 17:01:44]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 17:01:45]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 17:01:53]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 17:01:54]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 17:06:46]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 17:06:47]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 17:06:48]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 17:06:48]    getDetalleCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 17:06:49]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 17:06:49]    getDetalleCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 17:06:51]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 17:08:14]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 17:09:40]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 17:09:40]    getDetalleCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 17:09:41]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 17:09:41]    getDetalleCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 17:09:47]    Login :: User:santi Password:santi
[2013-11-16 17:09:47]    nuevoCarrito :: SQL : INSERT INTO `carrito` (`IdCarrito`, `IdCliente`, `Fecha`, `CantArt`, `MontoTotal`, `Activo`) VALUES (NULL, '0', '2013-11-16', '0', '0', '1');
[2013-11-16 17:09:47]    nuevoCarrito :: Se intenta crear carrito para Cliente id : 0
[2013-11-16 17:09:47]    obtenerCarrito :: Nuevo y ahora tiene Carrito Activo. Carrito id : 6
[2013-11-16 17:09:50]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 6
[2013-11-16 17:09:54]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 6
[2013-11-16 17:09:54]    getDetalleCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 17:09:55]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 6
[2013-11-16 17:09:55]    getDetalleCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 17:12:23]    Login :: User:juan Password:pepe
[2013-11-16 17:12:23]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 17:12:26]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:17:49]    Login :: User:juan Password:pepe
[2013-11-16 20:17:49]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:17:51]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:17:55]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:17:55]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 20:17:56]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:17:56]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 20:18:34]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:18:34]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 20:18:36]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:18:36]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 20:19:18]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:19:18]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 20:19:18]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:19:18]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 20:21:11]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:21:11]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 20:21:12]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:21:12]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 20:21:21]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:21:21]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 20:21:35]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:21:35]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 20:21:42]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:21:42]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 20:21:43]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:21:43]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 20:23:18]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:23:18]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 20:23:19]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:23:19]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 20:23:23]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:23:25]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:23:25]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 20:23:26]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:23:26]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 20:23:31]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:23:33]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:23:33]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 20:23:34]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:23:34]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 20:23:41]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:23:55]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:23:55]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 20:23:55]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 20:23:55]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 21:12:16]    Login :: User:juan Password:pepe
[2013-11-16 21:12:16]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 21:12:19]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 21:12:30]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 21:12:30]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 21:12:30]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 21:12:30]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 21:12:35]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 21:12:35]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 21:12:35]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 21:12:57]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 21:12:57]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 21:12:58]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 21:12:58]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 21:13:00]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 21:13:00]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 21:13:01]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 21:13:01]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 21:13:04]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 21:13:04]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 21:13:04]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 21:13:04]    addITem :: Se intenta agregar item al carrito
[2013-11-16 21:13:04]    addItem :: ERROR :: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '5-2' for key 'PRIMARY'
[2013-11-16 21:13:04]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 21:13:04]    getDetalleCarrito :: SQL :: SELECT * FROM detallecarrito JOIN articulo ON detallecarrito.IdArticulo = articulo.IdArticulo WHERE detallecarrito.IdCarrito =:id
[2013-11-16 21:13:41]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 21:13:41]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 21:13:41]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 21:13:41]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 21:13:44]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 21:13:44]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 21:13:44]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 21:13:44]    addITem :: Se intenta agregar item al carrito
[2013-11-16 21:14:11]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
[2013-11-16 21:14:11]    getArticulo :: SQL :: SELECT * FROM articulo WHERE IdArticulo = :id
[2013-11-16 21:14:11]    obtenerCarrito :: Tiene Carrito Activo. Carrito id : 5
